Var1,Freq,year,cum2017,ymd
2017-07-23,597,2017,128410,2017-07-23
2017-07-24,774,2017,129184,2017-07-24
2017-07-25,731,2017,129915,2017-07-25
2017-07-26,685,2017,130600,2017-07-26
2017-07-27,699,2017,131299,2017-07-27
2017-07-28,668,2017,131967,2017-07-28
2017-07-29,541,2017,132508,2017-07-29
2017-07-30,601,2017,133109,2017-07-30
2017-07-31,729,2017,133838,2017-07-31
2017-08-01,692,2017,134530,2017-08-01
2017-08-02,710,2017,135240,2017-08-02
2017-08-03,655,2017,135895,2017-08-03
2017-08-04,668,2017,136563,2017-08-04
2017-08-05,521,2017,137084,2017-08-05
2017-08-06,546,2017,137630,2017-08-06
2017-08-07,796,2017,138426,2017-08-07
2017-08-08,643,2017,139069,2017-08-08
2017-08-09,653,2017,139722,2017-08-09
2017-08-10,646,2017,140368,2017-08-10
2017-08-11,617,2017,140985,2017-08-11
2017-08-12,555,2017,141540,2017-08-12
2017-08-13,537,2017,142077,2017-08-13
2017-08-14,685,2017,142762,2017-08-14
2017-08-15,707,2017,143469,2017-08-15
2017-08-16,641,2017,144110,2017-08-16
2017-08-17,669,2017,144779,2017-08-17
2017-08-18,633,2017,145412,2017-08-18
2017-08-19,540,2017,145952,2017-08-19
2017-08-20,570,2017,146522,2017-08-20
2017-08-21,699,2017,147221,2017-08-21
2017-08-22,697,2017,147918,2017-08-22
2017-08-23,664,2017,148582,2017-08-23
2017-08-24,699,2017,149281,2017-08-24
2017-08-25,628,2017,149909,2017-08-25
2017-08-26,615,2017,150524,2017-08-26
2017-08-27,595,2017,151119,2017-08-27
2017-08-28,746,2017,151865,2017-08-28
2017-08-29,689,2017,152554,2017-08-29
2017-08-30,676,2017,153230,2017-08-30
2017-08-31,735,2017,153965,2017-08-31
2017-09-01,661,2017,154626,2017-09-01
2017-09-02,555,2017,155181,2017-09-02
2017-09-03,564,2017,155745,2017-09-03
2017-09-04,558,2017,156303,2017-09-04
2017-09-05,732,2017,157035,2017-09-05
2017-09-06,664,2017,157699,2017-09-06
2017-09-07,680,2017,158379,2017-09-07
2017-09-08,638,2017,159017,2017-09-08
2017-09-09,585,2017,159602,2017-09-09
2017-09-10,546,2017,160148,2017-09-10
2017-09-11,741,2017,160889,2017-09-11
2017-09-12,703,2017,161592,2017-09-12
2017-09-13,705,2017,162297,2017-09-13
2017-09-14,616,2017,162913,2017-09-14
2017-09-15,694,2017,163607,2017-09-15
2017-09-16,605,2017,164212,2017-09-16
2017-09-17,586,2017,164798,2017-09-17
2017-09-18,716,2017,165514,2017-09-18
2017-09-19,699,2017,166213,2017-09-19
2017-09-20,651,2017,166864,2017-09-20
2017-09-21,683,2017,167547,2017-09-21
2017-09-22,659,2017,168206,2017-09-22
2017-09-23,584,2017,168790,2017-09-23
2017-09-24,575,2017,169365,2017-09-24
2017-09-25,678,2017,170043,2017-09-25
2017-09-26,655,2017,170698,2017-09-26
2017-09-27,708,2017,171406,2017-09-27
2017-09-28,686,2017,172092,2017-09-28
2017-09-29,658,2017,172750,2017-09-29
2017-09-30,590,2017,173340,2017-09-30
2017-10-01,623,2017,173963,2017-10-01
2017-10-02,667,2017,174630,2017-10-02
2017-10-03,654,2017,175284,2017-10-03
2017-10-04,658,2017,175942,2017-10-04
2017-10-05,664,2017,176606,2017-10-05
2017-10-06,621,2017,177227,2017-10-06
